Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"27-11-2021 10:28 pm","28-11-2021 7:56 am","490","78","37","568","136","214","140"
"26-11-2021 11:16 pm","27-11-2021 8:40 am","501","63","34","564","106","331","64"
"25-11-2021 10:03 pm","26-11-2021 7:26 am","495","68","34","563","113","240","142"
"24-11-2021 10:19 pm","25-11-2021 7:54 am","461","114","30","575","49","307","105"
"23-11-2021 10:52 pm","24-11-2021 7:54 am","447","95","34","542","73","293","81"
"22-11-2021 10:11 pm","23-11-2021 7:42 am","506","65","40","571","134","248","124"
"21-11-2021 11:44 pm","22-11-2021 7:00 am","374","61","24","435","79","214","81"
"20-11-2021 11:56 pm","21-11-2021 8:08 am","449","43","34","492","98","226","125"
"19-11-2021 11:36 pm","20-11-2021 8:18 am","459","63","40","522","87","250","122"
"19-11-2021 12:24 am","19-11-2021 6:45 am","315","66","25","381","36","212","67"
"17-11-2021 10:49 pm","18-11-2021 8:24 am","502","73","38","575","118","284","100"
"16-11-2021 11:56 pm","17-11-2021 7:36 am","392","68","19","460","81","228","83"
"15-11-2021 10:55 pm","16-11-2021 7:53 am","457","81","22","538","117","264","76"
"14-11-2021 10:46 pm","15-11-2021 6:59 am","429","64","32","493","50","333","46"
"12-11-2021 10:15 pm","13-11-2021 6:50 am","463","51","36","514","71","294","98"
"11-11-2021 9:46 pm","12-11-2021 6:03 am","438","58","27","496","108","216","114"
"10-11-2021 10:53 pm","11-11-2021 7:07 am","452","42","24","494","110","226","116"
"09-11-2021 10:28 pm","10-11-2021 7:38 am","471","78","38","549","113","255","103"
"08-11-2021 10:42 pm","09-11-2021 7:31 am","453","76","44","529","91","269","93"
"07-11-2021 10:15 pm","08-11-2021 7:20 am","486","59","39","545","105","245","136"
"07-11-2021 2:39 pm","07-11-2021 4:08 pm","81","8","0","89","N/A","N/A","N/A"
"06-11-2021 10:51 pm","07-11-2021 7:47 am","447","89","42","536","47","295","105"
"05-11-2021 11:04 pm","06-11-2021 7:35 am","434","77","30","511","89","269","76"
"04-11-2021 9:59 pm","05-11-2021 7:01 am","444","98","42","542","48","317","79"
"03-11-2021 10:07 pm","04-11-2021 7:27 am","446","114","36","560","55","280","111"
"02-11-2021 10:17 pm","03-11-2021 6:56 am","441","78","31","519","68","295","78"
"01-11-2021 10:02 pm","02-11-2021 7:04 am","440","101","40","541","42","309","89"
"31-10-2021 10:00 pm","01-11-2021 6:59 am","464","75","41","539","103","284","77"
"31-10-2021 1:12 am","31-10-2021 9:12 am","418","61","26","479","142","177","99"
