Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2021-11-29 12:35AM,2021-11-29 7:46AM,389,42,21,431,100,209,80
2021-11-27 9:46PM,2021-11-28 8:31AM,598,47,28,645,159,311,128
2021-11-27 5:53AM,2021-11-27 8:50AM,166,11,0,177,N/A,N/A,N/A
2021-11-26 10:33PM,2021-11-27 4:17AM,302,42,13,344,49,221,32
2021-11-26 12:34AM,2021-11-26 7:34AM,381,39,19,420,95,215,71
2021-11-25 12:09AM,2021-11-25 7:55AM,403,63,23,466,82,232,89
2021-11-23 11:04PM,2021-11-24 6:16AM,390,42,16,432,114,214,62
2021-11-22 10:58PM,2021-11-23 6:58AM,424,56,27,480,93,265,66
2021-11-21 11:27PM,2021-11-22 7:07AM,416,44,24,460,93,246,77
2021-11-20 8:05PM,2021-11-21 9:19AM,772,22,2,794,N/A,N/A,N/A
2021-11-19 11:45PM,2021-11-20 8:52AM,482,64,31,546,112,274,96
2021-11-19 12:08AM,2021-11-19 6:25AM,341,36,16,377,114,138,89
2021-11-18 12:27AM,2021-11-18 8:26AM,434,44,28,478,130,236,68
2021-11-16 11:13PM,2021-11-17 8:10AM,488,49,27,537,91,297,100
2021-11-16 12:09AM,2021-11-16 7:10AM,375,46,20,421,85,221,69
2021-11-15 12:02AM,2021-11-15 7:21AM,390,48,23,438,113,179,98
2021-11-14 1:14AM,2021-11-14 8:17AM,384,39,18,423,122,177,85
2021-11-13 3:50AM,2021-11-13 9:36AM,317,29,25,346,96,161,60
2021-11-11 11:57PM,2021-11-12 7:45AM,420,48,19,468,102,268,50
2021-11-11 12:52AM,2021-11-11 7:01AM,337,32,21,369,68,207,62
2021-11-10 12:54AM,2021-11-10 7:24AM,321,69,18,390,94,172,55
2021-11-09 12:17AM,2021-11-09 7:15AM,354,64,22,418,58,238,58
2021-11-08 12:10AM,2021-11-08 7:01AM,373,38,17,411,104,185,84
2021-11-06 11:31PM,2021-11-07 7:53AM,411,91,22,502,88,249,74
2021-11-05 10:30PM,2021-11-06 7:25AM,468,67,28,535,86,273,109
2021-11-05 1:08AM,2021-11-05 7:14AM,306,59,18,365,79,169,58
2021-11-04 12:07AM,2021-11-04 7:22AM,400,35,22,435,98,222,80
2021-11-02 11:58PM,2021-11-03 8:05AM,448,39,16,487,137,229,82
2021-11-02 12:12AM,2021-11-02 7:03AM,358,53,27,411,60,236,62
2021-10-31 11:44PM,2021-11-01 7:10AM,405,40,27,445,103,240,62
