Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2021-11-29 11:13PM","2021-11-30 7:14AM","416","65","21","481","110","219","87"
"2021-11-28 9:47PM","2021-11-29 8:58AM","594","77","30","671","139","354","101"
"2021-11-27 12:58AM","2021-11-27 9:45AM","467","59","24","526","78","295","94"
"2021-11-26 2:31AM","2021-11-26 7:10AM","240","38","9","278","51","135","54"
"2021-11-25 12:58AM","2021-11-25 9:19AM","436","64","21","500","76","291","69"
"2021-11-24 12:16AM","2021-11-24 9:29AM","479","73","24","552","86","276","117"
"2021-11-23 12:12AM","2021-11-23 9:20AM","448","100","22","548","74","277","97"
"2021-11-22 12:09AM","2021-11-22 7:14AM","386","38","17","424","107","163","116"
"2021-11-20 1:39AM","2021-11-20 8:23AM","380","24","13","404","79","212","89"
"2021-11-18 11:35PM","2021-11-19 7:15AM","403","56","21","459","84","295","24"
"2021-11-17 11:56PM","2021-11-18 8:46AM","472","58","23","530","128","238","106"
"2021-11-16 11:50PM","2021-11-17 8:47AM","480","57","24","537","106","252","122"
"2021-11-16 12:37AM","2021-11-16 9:31AM","473","61","31","534","83","300","90"
"2021-11-14 11:52PM","2021-11-15 7:15AM","402","41","18","443","76","218","108"
"2021-11-07 7:30PM","2021-11-07 8:33PM","57","5","1","62","N/A","N/A","N/A"
"2021-11-07 12:26AM","2021-11-07 8:56AM","447","63","21","510","107","249","91"
"2021-11-05 10:50PM","2021-11-06 9:25AM","557","78","30","635","168","294","95"
"2021-11-05 1:09AM","2021-11-05 7:46AM","344","53","14","397","60","217","67"
"2021-11-03 11:32PM","2021-11-04 9:22AM","528","61","28","589","123","241","164"
"2021-11-02 11:46PM","2021-11-03 9:00AM","478","75","33","553","87","267","124"
"2021-11-02 12:13AM","2021-11-02 7:43AM","379","71","22","450","56","260","63"
"2021-11-01 7:14PM","2021-11-01 9:22PM","118","10","0","128","N/A","N/A","N/A"
"2021-11-01 1:35AM","2021-11-01 7:10AM","301","34","21","335","46","193","62"
