Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2021-11-09 10:55PM","2021-11-10 7:11AM","413","83","37","496","94","236","83"
"2021-11-08 10:44PM","2021-11-09 7:49AM","449","96","33","545","126","240","83"
"2021-11-08 12:46AM","2021-11-08 6:00AM","266","48","29","314","37","183","46"
"2021-11-07 12:27AM","2021-11-07 8:23AM","409","67","37","476","110","224","75"
"2021-11-06 3:20AM","2021-11-06 7:03AM","196","27","22","223","28","154","14"
"2021-11-05 12:48AM","2021-11-05 6:31AM","300","43","31","343","80","166","54"
"2021-11-03 11:37PM","2021-11-04 7:27AM","410","60","30","470","100","218","92"
"2021-11-02 9:56PM","2021-11-03 7:01AM","470","75","40","545","112","260","98"
"2021-11-01 10:58PM","2021-11-02 6:58AM","370","110","35","480","76","232","62"
"2021-10-31 10:50PM","2021-11-01 7:50AM","450","90","43","540","77","291","82"
