Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"28-11-2021 11:45 pm","29-11-2021 9:11 am","473","92","28","565","105","261","107"
"28-11-2021 11:53 am","28-11-2021 1:18 pm","72","8","0","85","N/A","N/A","N/A"
"28-11-2021 4:48 am","28-11-2021 10:17 am","293","36","17","329","61","148","84"
"27-11-2021 1:56 am","27-11-2021 8:01 am","335","30","21","365","70","163","102"
"25-11-2021 11:32 pm","26-11-2021 7:18 am","405","61","31","466","96","217","92"
"25-11-2021 12:45 am","25-11-2021 9:10 am","432","73","34","505","112","199","121"
"24-11-2021 2:19 am","24-11-2021 10:30 am","433","58","29","491","87","226","120"
"23-11-2021 12:05 am","23-11-2021 9:22 am","481","76","38","557","142","213","126"
"21-11-2021 11:11 pm","22-11-2021 7:18 am","411","76","31","487","45","266","100"
"21-11-2021 1:32 am","21-11-2021 9:18 am","388","78","24","466","90","229","69"
"20-11-2021 12:47 am","20-11-2021 8:05 am","369","69","26","438","79","198","92"
"19-11-2021 2:21 am","19-11-2021 7:24 am","260","43","26","303","80","126","54"
"18-11-2021 2:05 am","18-11-2021 8:58 am","353","60","23","413","64","203","86"
"17-11-2021 2:59 am","17-11-2021 10:41 am","415","47","26","462","115","160","140"
"16-11-2021 8:48 pm","16-11-2021 10:58 pm","115","15","1","130","N/A","N/A","N/A"
"16-11-2021 2:51 am","16-11-2021 8:15 am","288","36","20","324","71","160","57"
"15-11-2021 12:17 am","15-11-2021 7:07 am","335","74","23","409","77","183","75"
"14-11-2021 2:00 am","14-11-2021 8:34 am","345","49","24","394","65","209","71"
"13-11-2021 2:24 am","13-11-2021 10:08 am","410","54","32","464","63","258","89"
"11-11-2021 11:57 pm","12-11-2021 8:43 am","431","95","35","526","44","301","86"
"11-11-2021 1:45 am","11-11-2021 10:43 am","464","74","37","538","90","293","81"
"10-11-2021 1:58 am","10-11-2021 8:17 am","331","48","20","379","34","220","77"
"09-11-2021 12:43 am","09-11-2021 10:05 am","481","81","41","562","95","264","122"
"08-11-2021 1:15 am","08-11-2021 7:47 am","330","61","23","391","49","218","63"
"07-11-2021 6:02 am","07-11-2021 9:54 am","194","38","22","232","49","127","18"
"06-11-2021 12:43 am","06-11-2021 10:03 am","493","67","24","560","111","251","131"
"05-11-2021 12:05 am","05-11-2021 8:43 am","441","77","16","518","85","259","97"
"04-11-2021 12:32 am","04-11-2021 9:33 am","464","77","21","541","99","281","84"
"03-11-2021 1:10 am","03-11-2021 8:03 am","375","38","26","413","96","190","89"
"01-11-2021 11:55 pm","02-11-2021 7:24 am","378","71","32","449","81","234","63"
"31-10-2021 11:39 pm","01-11-2021 7:15 am","395","60","26","455","100","187","108"
